345; 32    Cas;01;11;41;+;65;01;08;+5.57;CAS;
346; 32    Cet;01;10;12;+;08;54;22;+6.40;CET;
347; 33    Cet;01;10;34;+;02;26;44;+5.95;CET;
348; 45    And;01;11;10;+;37;43;27;+5.81;AND;
349; 82    Psc;01;11;07;+;31;25;29;+5.16;PSC;
350;          ;01;10;07;+;57;41;40;+6.41;   ;
351; 84Chi Psc;01;11;27;+;21;02;05;+4.66;PSC;
352; 83Tau Psc;01;11;40;+;30;05;23;+4.51;PSC;Tau Piscium
353; 34    Cet;01;11;43;+;02;15;04;+5.94;CET;
354;          ;01;13;10;+;61;42;21;+6.41;   ;V761 Cassiopeiae
355;          ;01;12;34;+;45;20;16;+6.11;   ;
356;          ;01;12;59;+;30;03;51;+6.19;   ;
357;          ;01;16;31;+;79;54;36;+6.26;   ;
358;          ;01;12;23;+;30;48;08;+6.52;   ;
359;          ;01;12;45;+;37;51;23;+5.92;   ;
360; 85Phi Psc;01;13;45;+;24;35;01;+4.65;PSC;
361; 86Zet Psc;01;13;44;+;07;34;31;+5.24;PSC;Revati A
362; 86Zet Psc;01;13;45;+;07;34;42;+6.30;PSC;Revati B
363;          ;01;14;05;+;28;31;47;+6.43;   ;
364; 87    Psc;01;14;08;+;16;08;01;+5.98;PSC;
365;          ;01;16;12;+;71;44;38;+7.83;   ;
366; 37    Cet;01;14;24;+;07;55;23;+5.13;CET;
367; 88    Psc;01;14;42;+;06;59;43;+6.03;PSC;88 Piscium
368; 38    Cet;01;14;49;+;00;58;26;+5.70;CET;
369;          ;01;16;24;+;48;04;56;+6.61;   ;
370;   Nu  Phe;01;15;11;+;45;31;53;+4.96;PHE;
371;          ;01;16;19;+;33;06;53;+6.02;   ;
372;          ;01;17;05;+;44;54;07;+6.34;   ;
373; 39    Cet;01;16;36;+;02;30;01;+5.41;CET;
374;          ;01;17;24;+;31;44;41;+6.73;   ;
375;          ;01;20;19;+;77;34;14;+6.31;   ;
376;          ;01;18;10;+;47;25;11;+6.25;   ;
377;   Kap Tuc;01;15;46;+;68;52;34;+4.86;TUC;
378; 89    Psc;01;17;48;+;03;36;52;+5.16;PSC;f Piscium
379;          ;01;18;47;+;37;23;10;+6.46;   ;
380;          ;01;17;04;+;66;23;53;+6.24;   ;
381;          ;01;21;59;+;76;14;20;+6.38;   ;
382; 34Phi Cas;01;20;05;+;58;13;54;+4.98;CAS;
383; 90Ups Psc;01;19;28;+;27;15;51;+4.76;PSC;
384; 35    Cas;01;21;05;+;64;39;30;+6.34;CAS;
385; 42    Cet;01;19;48;+;00;30;32;+5.87;CET;
386;          ;01;23;47;+;78;43;33;+6.07;   ;
387;          ;01;20;34;+;03;14;49;+6.23;   ;
388;          ;01;20;28;+;11;14;20;+6.15;   ;
389; 91    Psc;01;21;07;+;28;44;17;+5.23;PSC;
390; 46Xi  And;01;22;20;+;45;31;44;+4.88;AND;Adhil
391;          ;01;23;22;+;58;08;35;+6.45;   ;
392;          ;01;22;37;+;01;43;35;+6.20;   ;
393; 43    Cet;01;22;35;+;00;26;59;+6.49;CET;
394;          ;01;22;30;+;19;04;53;+6.35;   ;
395; 47    And;01;23;41;+;37;42;54;+5.58;AND;47 Andromedae
396;          ;01;23;37;+;34;14;45;+6.29;   ;
397;          ;01;23;25;+;20;28;08;+5.97;   ;
398;          ;01;25;46;+;70;58;48;+6.49;   ;
399; 36Psi Cas;01;25;56;+;68;07;48;+4.74;CAS;
400;          ;01;23;31;+;30;56;44;+5.84;   ;
401; 44    Cet;01;24;02;+;08;00;27;+6.21;CET;
402; 45The Cet;01;24;01;+;08;11;00;+3.60;CET;Theta Ceti
403; 37Del Cas;01;25;49;+;60;14;07;+2.68;CAS;Ruchbah
404;          ;01;24;21;+;06;54;53;+5.91;   ;
405;          ;01;24;40;+;15;39;37;+6.14;   ;
406;          ;01;24;49;+;02;50;55;+6.15;   ;
407;          ;01;25;36;+;23;30;42;+6.18;   ;
408;          ;01;24;41;+;41;29;33;+5.42;   ;
409;          ;01;26;19;+;43;27;28;+5.96;   ;
410;          ;01;26;09;+;34;34;47;+6.31;   ;
411;          ;01;24;42;+;44;31;42;+6.26;   ;
412; 46    Cet;01;25;37;+;14;35;56;+4.90;CET;
413; 93Rho Psc;01;26;15;+;19;10;20;+5.38;PSC;
414; 94    Psc;01;26;42;+;19;14;25;+5.50;PSC;
415;          ;01;27;06;+;34;22;39;+6.27;   ;
416;          ;01;26;27;+;00;23;55;+6.41;   ;
417; 48Ome And;01;27;39;+;45;24;24;+4.83;AND;Omega Andromedae
418;          ;01;27;27;+;41;06;02;+6.46;   ;in Andromeda
419;          ;01;26;53;+;03;32;07;+6.58;   ;
